자차, 175, 149
사카, 198, 189
가카, 197, 140
카사, 168, 214
라마, 57, 219
라파, 189, 143
파마, 79, 223
라바, 171, 144
하차, 170, 188
마사, 114, 186
차나, 160, 226
자다, 150, 143
자타, 141, 168
차타, 122, 214
타나, 43, 219
아자, 165, 156
하아, 103, 185
자아, 97, 178
자카, 157, 222
가타, 62, 177
라자, 187, 194
파다, 108, 219
라카, 52, 167
타바, 137, 154
나다, 95, 188
파다, 120, 194
라나, 94, 220
타카, 127, 161
바파, 88, 157
마아, 199, 143
라다, 198, 145
타아, 63, 193
하라, 69, 169
아파, 150, 180
자가, 48, 179
자다, 53, 224
카다, 176, 169
파나, 191, 184
파아, 40, 188
사가, 89, 188
나다, 104, 208
하아, 89, 140
차자, 106, 169
카사, 185, 186
사차, 133, 175
아하, 96, 158
자바, 121, 217
다하, 63, 222
파바, 77, 169
차사, 157, 190
아다, 124, 184
라차, 182, 163
라마, 77, 178
파다, 117, 167
나나, 67, 152
카바, 146, 184
아다, 102, 186
파아, 153, 189
차나, 152, 210
아가, 127, 181
마바, 188, 219
파차, 190, 161
파나, 148, 172
가차, 155, 199
나다, 63, 202
바카, 137, 164
하마, 106, 227
바바, 80, 188
카하, 124, 168
카카, 63, 166
아타, 125, 225
나아, 139, 181
파타, 155, 225
마마, 62, 144
마가, 182, 193
나차, 151, 156
하카, 122, 198
바파, 176, 157
마자, 65, 147
나마, 180, 143
파차, 197, 171
가타, 156, 204
아아, 73, 223
하차, 118, 164
아나, 85, 184
나다, 87, 194
가카, 68, 212
나사, 137, 155
하차, 54, 183
타마, 45, 210
타가, 67, 143
라차, 111, 163
마나, 48, 148
카파, 58, 198
타차, 69, 195
아타, 59, 147
타하, 88, 157
나파, 158, 150
나하, 52, 207
타가, 106, 210
가카, 199, 224
아파, 84, 167
바차, 104, 183
바카, 48, 198
파타, 193, 166
차마, 101, 174
타하, 197, 153
파파, 120, 224
마타, 55, 202
타타, 86, 145
나사, 52, 210
자차, 96, 155
마바, 158, 217
바하, 136, 197
다아, 182, 177
라나, 167, 212
다자, 53, 182
다타, 114, 145
나바, 135, 211
다자, 118, 208
다다, 44, 163
바하, 58, 173
카파, 94, 223
카카, 77, 164
바라, 40, 166
다사, 133, 201
사사, 44, 227
가바, 108, 223
파파, 118, 187
라나, 110, 192
바아, 147, 207
바파, 43, 164
타라, 187, 208
라카, 68, 221
카타, 173, 225
차마, 196, 196
나파, 142, 144
다아, 81, 205
라차, 69, 216
다다, 160, 218
가바, 100, 180
파라, 93, 200
마하, 99, 222
아바, 41, 148
마사, 88, 177
차차, 106, 210
나타, 64, 207
라라, 63, 142
사카, 67, 158
다가, 78, 154
파사, 44, 158
자하, 50, 194
아파, 166, 201
파차, 61, 188
나자, 164, 181
바사, 177, 227
가차, 161, 161
하가, 161, 166
타나, 54, 204
자가, 122, 209
가타, 143, 196
타파, 175, 155
차바, 163, 200
마다, 130, 160
가타, 125, 144
자마, 143, 224
자타, 98, 152
라차, 66, 206
라다, 177, 179
타하, 82, 189
파자, 127, 210
바타, 86, 197
파마, 196, 223
다바, 131, 228
나차, 108, 148
라타, 117, 172
나하, 183, 199
가카, 146, 155
아카, 135, 186
사바, 161, 201
카차, 129, 199
타바, 54, 216
카나, 115, 182
나차, 118, 170
파아, 191, 227
사다, 170, 161
가자, 193, 217
아사, 84, 145
차자, 42, 174
카바, 153, 166
바자, 143, 188
하마, 59, 184
자카, 60, 145
아다, 118, 165
다자, 95, 194
사라, 96, 174
사카, 96, 204
가아, 66, 190
마자, 141, 149
가카, 43, 197
파자, 54, 225
자라, 158, 186
라가, 156, 166
자바, 126, 173
아하, 127, 141
가하, 140, 155
바차, 105, 151
자다, 159, 196
카타, 81, 211
타바, 157, 178
파라, 122, 198
카하, 100, 213
타자, 49, 183
차나, 104, 217
자바, 151, 229
다바, 87, 154
가차, 141, 149
라카, 120, 175
타다, 184, 174
하파, 152, 173
자가, 100, 221
사다, 164, 145
마아, 192, 157
가바, 64, 194
자가, 73, 219
자가, 143, 211
다차, 151, 168
아바, 75, 227
하바, 157, 140
차다, 114, 151
파타, 40, 189
가파, 123, 154
파바, 141, 152
다가, 156, 164
하사, 137, 204
하하, 58, 221
나카, 124, 168
카파, 86, 193
차라, 188, 167
차라, 82, 212
바자, 78, 209
파자, 112, 228
자사, 174, 141
자바, 70, 167
마파, 119, 205
카라, 120, 153
사다, 137, 178
다바, 150, 209
자가, 105, 163
나파, 118, 201
차카, 100, 172
사사, 108, 175
바하, 176, 164
마나, 90, 221
다아, 198, 189
파타, 45, 222
하바, 121, 171
라차, 113, 147
마사, 199, 190
아하, 76, 160
자라, 84, 157
자다, 115, 158
파자, 86, 174
자가, 170, 140
타가, 151, 172
나아, 122, 192
카아, 173, 141
마차, 67, 181
자마, 81, 166
다나, 133, 182
아차, 194, 226
차하, 51, 157
나파, 55, 207
라라, 149, 228
라자, 130, 157
